,num_points,final_3D,qhull
0,10.0,0.0002880096435546875,0.0002079010009765625
1,20.0,0.00031375885009765625,0.0001895427703857422
2,50.0,0.0003783702850341797,0.0002455711364746094
3,100.0,0.0005450248718261719,0.0003788471221923828
4,200.0,0.000997781753540039,0.0006947517395019531
5,500.0,0.0022759437561035156,0.0016410350799560547
6,1000.0,0.0048065185546875,0.003403186798095703
7,2000.0,0.009014606475830078,0.006571531295776367
8,5000.0,0.02388453483581543,0.017457962036132812
9,10000.0,0.04706430435180664,0.03662371635437012
10,20000.0,0.09419631958007812,0.08765244483947754
11,50000.0,0.24985909461975098,0.2629129886627197
12,100000.0,0.5141115188598633,0.6315841674804688
13,200000.0,1.0118718147277832,1.3575191497802734
14,500000.0,2.5785489082336426,4.182417154312134
15,1000000.0,5.359546661376953,9.085022449493408
